,0
SPC_078,0.5725
SPC_115,0.55
SPC_117,0.55
SPC_122,0.495
SPC_128,0.27
SPC_143,0.405
SPC_145,0.565
SPC_153,0.5125
SPC_162,0.315
SPC_163,0.44999999999999996
SPC_187,0.405
SPC_203,0.27
SPC_233,0.315
SPC_259,0.64
SPC_273,0.58
SPC_300,0.7075
SPC_310,0.34500000000000003
SPC_311,0.33
SPC_321,0.6625000000000001
SPC_339,0.375
SPC_355,0.39
SPC_367,0.6325000000000001
SPC_400,0.58
SPC_405,0.42000000000000004
SPC_418,0.46499999999999997
SPC_444,0.46499999999999997
SPC_522,0.5275
