index,0
0074B-1A,0.6388888888888888
0075B-2A,0.2222222222222222
0077B-3A,0.5625
0079B-5A,0.5486111111111112
0080B-4A,0.5138888888888888
0094B-8A,0.6180555555555556
0098B-9A,0.5833333333333333
0100B-10A,0.4722222222222222
101B-12A,0.4305555555555556
106B-11A,0.38888888888888884
109B-13A,0.7083333333333334
119B-14A,0.19444444444444442
17Ss9698-A,0.7361111111111112
18-17426,0.5416666666666666
6A,0.5486111111111112
GP18-3014-B5,0.5486111111111112
GS-17-0003337-A,0.2777777777777778
HS-19-0021906,0.27777777777777773
LS-17-20812-A1/S19-160-A1,0.3125
P11-7243 and 15-25656,0.5486111111111112
PS-16-064135-A1,0.15277777777777776
RS15-1377-A,0.5902777777777778
RS18-52402/RS-18-52411,0.5798611111111112
RS20-13453-A1-A2,0.7152777777777778
S15-24596-1K,0.3611111111111111
S15-2783,0.6041666666666666
S17-1040/S17-38716,0.4375
S17-39412-1A2,0.20833333333333334
S17-4376,0.19444444444444442
S17-64584-1B,0.5321100917431192
S18-110,0.2638888888888889
S18-13551-B11,0.5069444444444444
S18-18737,0.3611111111111111
S18-3662,0.5625
S18-7376,0.3194444444444444
S18-956-A,0.5902777777777778
"S19-28407-A1,A2,A4,A10,C2",0.21527777777777776
S19-3478-A2,0.5138888888888888
SB-17-1212,0.5252293577981652
SB-17-4207,0.27522935779816515
SB-18-1188,0.27522935779816515
SB-18-702,0.5183486238532111
SB-18-831,0.6009174311926606
SB-19-2801,0.22018348623853212
SB17-1613-A5,0.5555555555555556
SI-15-47038,0.24305555555555555
SI-16-885,0.3055555555555555
SI16-2756,0.25
SP-16-0013232-A1,0.5208333333333334
SS-15-1284 or 13-32724,0.5972222222222223
SS-15-5737 (14-5753),0.5458715596330276
SS-18-7192 (S8-1249),0.3990825688073395
ST14-4771-A1,0.38888888888888884
TMC18-10909,0.375
US16-1349-w2 and X2,0.6041666666666666
WS-18-005115,0.25
WS11-02445,0.3333333333333333
si19-2235/SI19-3327,0.5428240740740741
