,SS-15-5737 (14-5753),SB-17-1212,SB-17-4207,SB-18-831,SB-18-702,SB-18-1188,S17-64584-1B,SB-19-2801,SS-18-7192 (S8-1249)
TMSB10,2.307090587615966,2.1881052017211915,2.2545791816711427,2.0126156330108644,2.2911577510833743,2.404011898040772,2.230816078186036,2.236806297302246,2.196065444946289
HSPA8,2.039173879623413,2.2614043140411377,2.2537497425079343,2.1784121942520143,2.357193670272827,2.109282960891724,2.1207461214065555,2.070745401382447,2.1151194477081297
FLNA,2.244867238998413,2.1661061096191405,2.371202268600464,2.4576838874816898,2.3199927711486814,2.3773785686492923,2.3153297615051267,2.567965669631957,2.441758146286011
ANXA2,2.2885114097595216,2.2114278793334963,2.3271974849700925,2.2597717094421386,2.406237182617188,2.487069816589355,2.32898232460022,2.422339963912964,2.359695234298706
CTSD,2.154691367149353,2.116611728668213,2.3410850906372067,2.466173028945923,2.2350009775161745,2.4547616958618166,2.168261671066284,2.351580729484558,2.305445537567139
SPARC,1.8679706478118896,2.075597534179688,2.107620477676392,1.704255380630493,2.0330533742904664,2.293913779258728,1.9603589963912964,2.230246829986572,1.9316794061660765
EIF4G2,2.0853144407272337,2.3222490596771244,2.28199556350708,2.2642988204956054,2.356929359436035,2.2560414409637453,2.1632223606109617,2.227475910186768,2.240644884109497
RPS11,2.197516846656799,2.2544211101531983,2.2401420974731447,1.870132575035095,2.1763271427154542,2.2231202411651614,1.99595730304718,2.149429683685302,2.063976302146912
HSP90B1,1.9710666227340696,2.2803842544555666,2.1224495792388915,1.8726682472229,2.0925821638107296,1.9444622707366943,1.9974454498291012,1.9591744995117184,2.0881540060043333
TAGLN2,2.2876469230651857,2.240957126617432,2.3333156299591065,2.163145656585693,2.3394867706298825,2.3531591510772705,2.2721322441101077,2.3789499855041507,2.2328899097442627
TMBIM6,2.1412255716323854,2.168169403076172,2.176426486968994,2.0878827810287475,2.204498815536499,2.1392809009552005,2.0838302421569823,2.081680188179016,2.1363400745391847
KRT19,2.1851667165756226,2.285732173919677,2.240834064483643,2.162001442909241,2.526812772750854,2.3187738037109376,2.3357856273651123,2.2982990837097166,2.404856224060059
S100A6,2.486817398071289,2.029782705307007,2.239725251197815,2.349169487953186,2.427188148498535,2.354603567123413,2.3407887840271,2.2882464075088498,2.255398473739624
RPL19,2.3030606842041017,2.2667196464538577,2.291576271057129,2.0645898675918577,2.2982914543151853,2.3373848056793216,2.1967994403839115,2.3221585178375244,2.2194314765930176
RPL7A,2.1384184837341307,2.192352457046509,2.1373152256011965,1.8926564741134644,2.158762865066529,2.0606238651275635,1.997286610603333,2.002932124137878,1.946595358848572
RPS8,2.279857215881348,2.258376598358154,2.2193261909484865,1.9251581525802612,2.225373640060425,2.18672158241272,2.0808958244323734,2.121837024688721,2.118507270812988
HLA-DRA,1.6790827751159667,1.8490271949768065,2.054159059524536,1.873909788131714,1.8654894447326664,2.0844325828552246,1.6812847328186034,1.8077680683135988,1.739422998428345
GNB2L1,2.232510766983032,2.1792335414886472,2.224198446273804,2.200746903419495,2.2192422485351564,2.2269200038909918,2.142927069664002,2.216280164718628,2.185346946716309
LGALS3BP,2.2667078590393066,2.0007839012146,2.2279407024383544,2.3722049713134767,2.1548843431472777,2.205573949813843,2.1071556425094604,2.2967004585266118,2.164299230575561
HSPA5,2.073604617118836,2.142856798171997,2.105358438491821,2.0166997289657598,2.085811557769776,2.0333713626861574,1.9709643173217772,1.9677959442138675,2.106251630783081
LDHA,2.04769501209259,2.2920962142944337,2.2006675243377685,2.0298995351791382,2.351696043014526,2.2086047744750976,2.162323522567749,2.029719467163086,2.0486261224746705
ATP1A1,2.184587774276733,2.1865863609313965,2.1999392795562747,2.4953323173522954,2.076178765296936,2.2206100273132323,2.1647855281829838,2.280263614654541,2.333996171951294
CFL1,2.0219955158233645,2.1314601135253906,2.1239881134033207,2.1123642635345456,2.1201468944549564,2.1559703254699705,2.080802187919617,2.155848369598389,2.133038415908813
KRT8,2.263705539703369,2.2826035594940186,2.303249902725219,2.271057114601135,2.327342891693115,2.169854111671448,2.1607519340515133,2.1776700019836426,2.367158069610596
RPS2,2.247326402664185,2.1266997337341307,2.1574575328826904,2.00750235080719,2.2196759510040285,2.1203676414489747,2.1238691234588623,2.1095741367340084,2.095838079452515
RPS19,2.000729923248291,2.1652642726898192,2.047993402481078,1.5723083639144897,2.0808659601211543,2.0628939676284794,1.8943164348602293,1.948982458114624,1.9682306814193729
RPS24,2.0380843019485475,2.065023527145386,1.9956073570251465,1.8002072095870971,1.911884989738464,2.019091963768005,1.889471745491028,1.936343269348144,1.8518650913238528
TUBB,2.130893888473511,2.2819961452484128,2.171730546951294,2.2261626482009884,2.199740028381348,2.118801083564758,2.247531671524048,2.247124528884888,2.285715265274048
PTMA,2.019063377380371,2.100894417762756,2.0165071964263914,1.965545320510864,1.929789299964905,2.039502029418945,1.9621129608154295,1.99421181678772,2.072227964401245
RPL13,2.1952510833740235,2.0463029432296755,2.110970220565796,1.7220980072021486,2.087587332725525,2.128989624977112,1.9437038230896,2.132344045639038,2.02364884853363
GLUL,1.811378016471863,2.012847285270691,1.9384173011779784,2.003522295951843,1.8267896795272829,2.100556488037109,1.882589263916016,1.9162122058868405,2.0008693408966067
APLP2,2.37503755569458,2.139078321456909,2.355630931854248,2.426201877593994,2.289519643783569,2.257278461456299,2.200152597427368,2.5017001152038576,2.3934853649139405
APP,2.3543317222595213,2.1776052570343016,2.170695304870605,2.2263574981689453,2.2141468238830564,2.157107353210449,2.28665283203125,2.396111888885498,2.331698513031006
GSTP1,1.8765981483459475,2.1293449449539184,1.9544456577301024,1.7844695329666138,1.948843421936035,2.004826154708862,1.7668693304061889,1.9083802556991576,1.9745869827270508
SDC1,2.2400661802291872,2.182264308929444,2.314083309173584,2.2249694061279293,2.336815853118897,2.438192043304443,2.4281391048431398,2.74443902015686,2.5202474880218504
RPS20,2.151654653549194,2.084484252929688,1.990635175704956,1.8553191804885865,1.9561266469955445,2.0128070974349974,2.007333626747131,1.951250548362732,2.0059962940216067
HLA-E,1.858247928619385,1.8963342714309688,2.0083877563476564,1.9594170570373532,1.9810226488113405,2.061792268753052,1.812368817329407,1.8587882804870608,1.990798516273499
RPS16,1.942343244552612,2.137118039131164,2.026943926811218,1.6025411891937256,2.1204690313339234,1.9349004888534544,1.776537823677063,1.794027066230774,1.8565248918533324
NDRG1,2.19380868434906,2.293955850601196,2.175814228057861,2.314171953201293,2.454812669754028,2.110913767814636,2.524405860900879,2.27215874671936,2.394365348815918
RPL37,2.1522411060333253,2.1354061651229856,2.084772539138794,1.966722297668457,2.0836209821701046,1.9355695867538447,2.0213986682891845,1.992441115379333,2.0540858459472657
MT-ND3,2.27257661819458,2.032061285972595,2.034901819229126,2.2541354656219483,1.8552614593505856,2.252944822311401,2.157608709335327,2.379778337478638,2.3027655410766603
RPL5,2.1590255069732662,2.123263816833496,2.0665759372711183,1.8321863412857056,2.168425302505493,2.007918286323547,1.9742792844772337,1.9325874996185304,1.9262263107299809
HNRNPA2B1,2.101748061180115,2.0958545875549315,2.0807943153381343,2.1480599212646485,2.015198082923889,2.043362574577332,2.174406909942627,2.1833755683898928,2.16241904258728
HDLBP,2.108269004821777,2.072979679107666,1.984943780899048,2.2063000535964967,1.9945297145843504,1.9984286117553711,2.0112275981903074,2.074147872924805,2.071384882926941
MYL6,2.0604313898086546,2.082833986282348,2.100811414718628,1.7743279504776002,2.093881516456604,2.088138933181763,2.002173953056335,2.0324656343460084,2.0277925634384157
PGK1,1.9444537591934203,2.208424701690674,2.094454803466797,1.908500471115112,2.2732056522369386,1.870692172050476,2.140932550430298,1.7831452751159669,1.9490793657302856
CANX,1.830439867973328,2.004776206016541,2.0089649629592894,2.137915110588074,2.014038381576538,1.9352887392044067,1.8476829767227168,1.8369952917099,1.8826823186874395
S100A11,2.094099540710449,1.996134080886841,1.970572929382324,1.9106327867507933,2.112679772377014,2.14621705532074,2.220152750015259,2.1540012836456297,2.097314696311951
TPI1,2.0045355987548827,2.194698438644409,2.069525213241577,1.963881616592407,2.184744739532471,2.060281767845153,2.1769455099105834,2.05962384223938,2.032985396385193
RPS12,1.9689768886566164,2.1193019247055056,2.0839713191986085,1.8558152103424077,2.0467918491363526,1.962369694709778,1.8870293188095093,2.0307887697219846,1.9137408828735356
RPL37A,2.1319534349441525,2.042666893005371,2.0426393365859985,1.849114294052124,2.0246318101882936,1.9907132053375247,1.9373257827758792,1.998520092964172,1.936886048316956
RPL27A,2.04002366065979,2.1423089694976807,2.1089770984649654,1.7852300357818602,2.155443572998047,2.0886076354980467,1.887453188896179,2.0692143201828,1.8820417213439944
CD63,1.9814661693573,1.8628682518005373,1.8945619344711304,1.7704362154006958,1.8437850522994992,1.899829378128052,1.7233145809173585,1.767586441040039,1.833061156272888
RPS9,1.9538346576690675,2.015054779052734,2.0140464019775397,1.6680528783798216,2.0148022890090944,1.9690871524810791,1.75078996181488,1.9036219930648808,1.8633668279647828
AHNAK,1.8652040433883663,1.8720858669281009,2.0784475326538088,2.3912292575836185,1.994596967697144,2.141641726493835,2.167429494857788,2.3693904876708984,2.2955620002746584
RPL28,1.991329035758972,1.9712699317932127,1.917043833732605,1.5283961629867555,1.985430436134338,2.014317378997803,1.874369921684265,1.9500458478927607,1.950876884460449
UBC,2.0901931285858155,2.031856451034546,2.111633672714233,2.0489253091812136,2.157467956542969,2.137318515777588,2.19277081489563,2.165437288284302,2.203987379074097
RPL11,2.187255125045777,1.985724596977234,1.995756058692932,1.9222008895874023,1.835389394760132,1.9966160202026368,1.883306050300598,2.0951913261413577,2.0532466745376587
NCL,1.872006425857544,2.0347650718688968,1.9247428464889529,1.9722814989089965,1.8913429737091063,1.8898030948638915,1.9701490926742555,1.953501949310303,2.0893202209472657
RPL18,1.9788275289535524,2.0191536998748782,1.988122320175171,1.557236828804016,2.0062330293655397,1.9554884147644045,1.8428964900970457,1.889557514190674,1.8492450618743892
H3F3B,2.067574801445008,2.0194864749908445,2.096378469467163,1.953681583404541,2.066308150291443,2.170670728683472,2.115733528137207,2.1944516277313237,2.037536964416504
ITM2B,1.7877162599563596,1.8667229652404784,1.7657644987106322,1.6647466850280763,1.8316737747192384,1.9180439138412475,1.6667555141448975,1.7818167543411256,1.6903665256500244
RPL30,2.0323858308792118,2.008651347160339,1.988534049987793,1.8373905467987055,1.9927948045730592,1.8464654684066768,1.9664265823364255,1.921907353401184,1.9304709053039557
RPS17,1.900626096725464,2.0327612495422365,2.015004515647888,1.614488854408264,1.9579175329208367,2.003073892593384,1.8679746007919316,1.965903348922729,1.8884822845458984
RPL23,2.102288331985473,2.047897882461548,2.0165848779678344,1.8158232021331788,1.999003491401672,2.0363123416900635,1.939112329483032,2.053928723335266,1.9494982481002807
MSN,1.7934713411331171,1.7492387008666992,1.836028680801392,1.812341866493225,1.85737117767334,1.966061964035034,1.874852237701416,1.912503080368042,1.7577749443054205
HSPB1,2.203100910186768,2.087175464630127,2.0588543128967287,2.100851368904114,2.2618595600128173,2.257845902442932,2.490228958129883,2.409706010818481,2.536140727996826
FTH1,1.992818260192871,1.958581657409668,1.9507388210296632,1.9232785797119136,2.0296125125885007,1.9049972915649411,1.920016074180603,1.897999906539917,1.8593124580383305
EIF4G1,1.856052861213684,2.133587646484375,2.02198365688324,1.9107699632644648,2.076176943778992,1.9766896867752075,2.138773245811462,2.08408413887024,2.129923505783081
PDIA3,1.893341498374939,2.0190403413772584,1.896057744026184,1.8746357870101928,1.8345857191085817,1.858267922401428,1.7806525039672851,1.8595772552490235,1.995006022453308
ARF1,2.00840389251709,1.9973679113388063,2.030385732650757,1.875640068054199,1.996669974327088,1.9927632141113285,1.9823612594604487,1.969038076400757,2.0101734256744384
RPL31,1.98723361492157,2.018928346633911,1.9814043235778809,1.6373991918563842,1.9163836717605591,1.9393234300613404,1.7897342300415038,1.852814650535584,1.8336680507659917
RPL32,2.048971424102783,1.933932905197144,1.95308629989624,1.631049346923828,2.0001967430114744,1.909398145675659,1.859044771194458,1.8435645389556885,1.856796865463257
RPLP2,1.9740671348571777,2.0551439046859743,2.063029084205628,1.7853329133987426,2.081925573348999,2.0840600109100342,1.886350989341736,2.019559645652771,1.9850823354721068
EIF1,1.922512788772583,2.0334190130233765,2.0433306646347047,1.87816954612732,2.046467418670654,2.05791971206665,1.9853924751281735,1.9600502586364748,2.0247603464126582
PFN1,1.9127781915664677,1.9159650850296024,1.8917735290527344,1.6072453737258912,1.9502089071273805,1.9131494903564448,1.8881451654434205,1.8924680089950563,1.8363248014450075
DDX5,1.8002880001068111,1.9366318082809448,2.03042640209198,1.8849380159378053,1.9485570907592773,1.949993796348572,1.8310824155807492,1.9565934801101683,1.9433623170852663
RPL15,1.9335357427597049,1.9242156457901,1.8809166288375856,1.62628653049469,1.8767067337036127,1.888426809310913,1.7567091035842892,1.7995835494995116,1.7995470333099366
RPS27,1.944254670143128,1.970361499786377,1.9751687431335447,1.6059987020492552,1.899954080581665,1.866963286399841,1.7959798669815066,1.8558204221725465,1.8091590976715088
JUP,1.7953996706008908,2.1784511280059813,2.0035670709609987,2.0273798227310182,2.179558615684509,2.2856014919281007,2.189339318275452,2.281618795394897,2.251044969558716
RPL12,2.0479951572418207,1.9944952392578128,1.945949773788452,1.7520598363876343,2.0562149333953856,1.896553511619568,1.913063530921936,1.861737275123596,1.827914743423462
HNRNPK,1.910027465820313,2.033482871055603,1.969902024269104,2.0852746868133547,1.9398646450042727,1.938024182319641,1.9747140407562256,2.006807646751404,2.03593225479126
GRN,1.878020968437195,1.939686088562012,2.0313217449188232,1.9152815532684329,2.075633068084717,2.1308039283752445,1.9623566722869876,2.099891438484192,2.055983772277832
RPS14,1.885199193954468,1.958344039916992,1.9336197710037228,1.6539681053161623,1.9825711154937744,2.0010050773620605,1.7371356248855592,1.8812094593048097,1.67593955039978
RPL27,1.962482752799988,2.0271426534652712,1.9830721187591556,1.625828981399536,2.074490599632263,1.975910186767578,1.8529953956604004,1.883632907867432,1.7916952419281007
DHCR24,2.200778436660767,2.041157960891724,2.111127014160156,2.28747896194458,2.062127361297608,2.060068440437317,2.068069062232971,2.173169856071472,2.216237020492554
SPINT2,2.0534868669509887,1.9909081649780276,1.958404698371887,1.8885426235198972,2.1206146097183227,1.939374237060547,1.898486466407776,1.9562455415725708,2.008990697860717
PTPRF,2.0097712326049804,2.076001138687133,2.112388081550598,2.2601655626297,2.1720624828338626,2.1500545740127563,2.1627236700057986,2.3356283760070804,2.3765050888061525
NACA,1.8200610876083372,1.960519394874573,1.894451904296875,1.6897368621826172,1.8488394355773927,1.804153828620911,1.8204165029525756,1.8151276588439944,1.8619114446640013
RPS5,1.7880819225311275,2.0174870634078976,1.928271131515503,1.458827323913574,2.02787193775177,1.8812764501571655,1.7280579042434692,1.74142457485199,1.6547930097579957
ACTN4,1.9692019033432009,1.9354331064224244,1.9892421197891237,2.0939851236343388,2.0158630037307743,1.991534662246704,1.990964426994324,2.192784767150879,2.179943895339966
ATP5B,1.716976218223572,2.0370547151565552,1.8862089204788208,1.7244234132766725,1.937229442596436,1.736302580833435,1.8479685735702516,1.7020691061019897,1.818590693473816
VIM,1.898079271316528,1.7353338861465455,1.937373371124268,1.959539165496826,1.811712613105774,2.0776377058029176,1.8949027204513549,2.065193419456482,1.8889152479171751
RPL6,1.8205471754074096,1.94486008644104,1.8293944215774531,1.7558101320266726,1.8020887565612795,1.7964936590194704,1.7770789527893065,1.8020179843902588,1.8530163335800167
A2M,1.4326869058609009,1.808368768692017,1.9226065206527712,1.8746591520309448,1.5781438398361205,1.89770763874054,1.3953370618820191,1.794456868171692,1.8854830980300905
RPL7,1.8236337804794316,1.9815945243835449,1.8323543500900268,1.7706349563598631,1.9057461214065552,1.7675028991699222,1.7954655122756955,1.7572924518585205,1.7920258140563967
COL6A3,1.5474385929107666,1.774874048233032,1.8035537862777709,1.59774471282959,1.608965721130371,1.8382086563110351,1.6836553001403811,1.960059566497803,1.7535774660110472
HNRNPA1,1.796383090019226,1.924928369522095,1.870382971763611,1.8066272497177125,1.7987819719314575,1.802649831771851,1.8097804069519043,1.860921063423157,1.8733814525604249
SRRM2,1.9778994274139403,1.907616662979126,2.0547352266311645,2.290471200942993,2.002844910621643,1.970146145820617,2.123325071334839,2.243479461669922,2.245407013893128
CALM2,2.025421085357666,1.9880748128890997,2.015459833145141,1.7792829704284667,1.9834129619598388,1.94240149974823,1.8826835680007936,1.8531611967086792,1.8308630609512329
GANAB,1.7873728132247926,1.9884048604965208,1.8930720901489253,1.966369390487671,1.8832911348342896,1.7832844257354736,1.7975325536727904,1.909334025382996,1.902554841041565
RPL10A,1.89737464427948,1.9606577539443968,1.8892562246322635,1.720670280456543,1.960478143692016,1.8086636352539065,1.7338829946517944,1.7723601055145264,1.7210418748855592
DSP,1.4683724212646485,1.9614257287979124,1.630493688583374,1.4996414065361023,1.920508823394776,1.694503960609436,1.9140813398361207,1.7912253713607786,1.7176623058319094
RPL35A,1.7782527780532835,2.0642572355270383,1.898866410255432,1.2536685466766355,1.9467957448959357,1.808786244392395,1.7972887182235715,1.7562065839767456,1.730011968612671
BSG,2.011624388694763,1.937925229072571,1.952717328071594,1.957587966918945,1.8983529758453368,1.9707697057724,1.9468660783767704,2.0119563341140747,2.123261461257935
TPM4,1.6394528532028196,1.856884965896607,1.8301442909240724,1.7091206407547,1.8390720176696775,1.899567818641663,1.896995720863342,1.913092317581177,1.8514942026138304
SFTPA2,0.5854171684384346,1.5729594135284422,1.5364096546173094,1.801698188781738,1.227579200267792,1.5870217275619507,0.2811996373906731,1.0066834747791291,1.0350786554813385
PLEC,2.009833884239197,1.7190809488296508,1.870313692092896,2.2022025394439697,1.9939355278015136,1.9938404607772828,2.1817585229873657,2.167964816093445,2.1951600742340087
CLTC,1.944836473464966,1.9459789514541623,1.9833776569366457,2.1277044725418093,1.9271904039382932,1.9195810937881468,2.0053570079803467,2.0024739217758176,2.0239889478683475
RPS7,1.892266354560852,1.970772490501404,1.873318619728088,1.4505930948257446,1.9512341737747192,1.7685337591171266,1.768073706626892,1.6668001031875612,1.7035614490509032
IGHG3,0.4301952636241912,1.39394464969635,0.9116392099857328,-0.0293029325082898,0.813604141175747,0.5760735285282135,0.1967200910300016,0.0303410929255187,0.6630671792477368
CD9,1.9940364694595336,2.1508905220031744,2.083381567001343,2.241118483543396,2.057783136367798,2.101141357421875,2.318131847381592,2.4359912014007565,2.284853906631469
